entry_date,expiration,exit_date,spot,vix,iv_rank,iv_tier,short_delta,long_put,short_put,short_call,long_call,credit,max_loss,pnl,won,exit_reason,side_breached,put_width,call_width,data_source,dte
2022-07-12,2022-08-10,2022-07-28,362.9145202636719,27.290000915527344,0.5728,high,0.25,335.0,346.0,386.0,397.0,5.28,572.0,-446.0,False,stop_loss,call,11.0,11.0,thetadata,29
2022-07-19,2022-08-17,2022-08-10,373.8163757324219,24.5,0.4426,medium,0.2,345.0,355.0,400.0,411.0,4.37,663.0,-607.0,False,stop_loss,call,10.0,11.0,thetadata,29
2022-07-26,2022-08-24,2022-08-10,372.50128173828125,24.690000534057617,0.4515,medium,0.2,345.0,354.0,399.0,410.0,3.62,738.0,-667.0,False,stop_loss,call,9.0,11.0,thetadata,29
2022-08-02,2022-08-31,2022-08-26,388.86358642578125,23.93000030517578,0.416,medium,0.2,357.0,369.0,415.0,427.0,3.37,863.0,274.0,True,take_profit,,12.0,12.0,thetadata,29
2022-08-09,2022-09-07,2022-08-26,391.9988098144531,21.770000457763672,0.3153,medium,0.2,362.0,374.0,416.0,428.0,5.47,653.0,366.0,True,take_profit,,12.0,12.0,thetadata,29
2022-08-23,2022-09-21,2022-09-16,392.9517822265625,24.110000610351562,0.4244,medium,0.2,361.0,373.0,419.0,431.0,4.77,723.0,396.0,True,take_profit,,12.0,12.0,thetadata,29
2022-08-30,2022-09-28,2022-09-16,379.4769592285156,26.209999084472656,0.5224,high,0.25,352.0,363.0,402.0,413.0,4.73,627.0,298.0,True,take_profit,,11.0,11.0,thetadata,29
2022-09-07,2022-10-07,2022-10-04,379.0671691894531,24.639999389648438,0.4492,medium,0.2,349.0,360.0,406.0,417.0,1.9,910.0,159.0,True,take_profit,,11.0,11.0,thetadata,30
2022-09-14,2022-10-14,2022-10-13,376.03680419921875,26.15999984741211,0.5201,high,0.25,349.0,360.0,398.0,409.0,1.95,905.0,107.0,True,take_profit,,11.0,11.0,thetadata,30
2022-09-21,2022-10-21,2022-10-07,361.1137390136719,27.989999771118164,0.6054,high,0.25,333.0,344.0,384.0,395.0,5.2,580.0,303.0,True,take_profit,,11.0,11.0,thetadata,30
2022-09-28,2022-10-28,2022-10-20,354.5495300292969,30.18000030517578,0.7076,very_high,0.3,330.0,341.0,374.0,385.0,5.85,515.0,352.0,True,take_profit,,11.0,11.0,thetadata,30
2022-10-05,2022-11-04,2022-11-02,360.8266296386719,28.549999237060547,0.6315,high,0.25,333.0,344.0,383.0,394.0,6.81,419.0,604.0,True,take_profit,,11.0,11.0,thetadata,30
2022-10-12,2022-11-11,2022-10-28,341.1820373535156,33.56999969482422,0.8657,very_high,0.3,320.0,328.0,363.0,373.0,5.04,496.0,-406.0,False,stop_loss,call,8.0,10.0,thetadata,30
2022-10-19,2022-11-18,2022-11-10,352.6070861816406,30.760000228881836,0.7346,very_high,0.3,328.0,339.0,372.0,383.0,3.04,796.0,-682.0,False,stop_loss,call,11.0,11.0,thetadata,30
2022-10-27,2022-11-25,2022-11-22,363.5919494628906,27.389999389648438,0.5756,high,0.25,336.0,347.0,386.0,397.0,4.54,646.0,-597.0,False,stop_loss,,11.0,11.0,thetadata,29
