strategy,symbol,entry_date,expiration_date,spot_price,short_strike,long_strike,short_call_strike,long_call_strike,credit,max_loss,theoretical_pop,iv_rank,iv_at_entry,exit_price,pnl,won,reason
iron_condor,CNC,2025-11-17,2025-12-31,37.08,33.0,32.0,42.0,43.0,0.2685436402858193,73.14563597141807,0.5983710880650247,0.384089819082304,0.49899928,41.15,26.85436402858193,True,Expired between short strikes
iron_condor,FICO,2025-11-17,2025-12-31,1760.25,1610.0,1560.0,1970.0,2020.0,16.862898577028332,3313.710142297167,0.5952334581347027,0.3556299045018189,0.41724556,1690.62,1686.2898577028332,True,Expired between short strikes
iron_condor,LRCX,2025-11-17,2025-12-31,147.46,130.0,125.0,170.0,175.0,1.5423155371697046,345.76844628302956,0.6155618974639796,0.4239564385845936,0.53344696,171.18,36.23155371696978,True,Call side partial loss
iron_condor,BDX,2025-11-17,2025-12-31,190.98,180.0,175.0,205.0,210.0,1.3136012021556116,368.63987978443885,0.6317229953210798,0.36051383746513876,0.25038861,194.07,131.36012021556115,True,Expired between short strikes
iron_condor,APH,2025-11-17,2025-12-31,132.33,125.0,120.0,145.0,150.0,2.179297887793206,282.07021122067937,0.4487942317643429,0.538027682404115,0.42557968,135.14,217.9297887793206,True,Expired between short strikes
iron_condor,J,2025-11-17,2025-12-31,150.59,140.0,135.0,165.0,170.0,1.2019435006335595,379.80564993664404,0.6534353480020403,0.420331348989748,0.30102829,132.46,-379.80564993664404,False,Put side max loss
iron_condor,IEX,2025-11-17,2025-12-31,162.76,155.0,150.0,175.0,180.0,1.7034563331722001,329.65436668278,0.5355778761468876,0.31840768070649766,0.28437593,177.94,-123.65436668277977,False,Call side partial loss
iron_condor,FIX,2025-11-17,2025-12-31,919.82,820.0,790.0,1060.0,1090.0,10.117756280709058,1988.224371929094,0.5996866774824035,0.4367254274047061,0.52517634,933.29,1011.7756280709058,True,Expired between short strikes
iron_condor,ANET,2025-11-17,2025-12-31,127.26,115.0,110.0,145.0,150.0,1.7370824694560891,326.2917530543911,0.5600713144207523,0.317525440235381,0.51573101,131.03,173.70824694560892,True,Expired between short strikes
iron_condor,DLTR,2025-11-17,2025-12-31,103.67,95.0,90.0,120.0,125.0,1.6447311343121438,335.52688656878564,0.5626387653476768,0.4674886527921967,0.50515859,123.01,-136.52688656878613,False,Call side partial loss
iron_condor,NDSN,2025-11-17,2025-12-31,227.79,210.0,200.0,250.0,260.0,2.319130645630077,768.0869354369923,0.6532077873947923,0.45331500596635266,0.32126829,240.43,231.91306456300768,True,Expired between short strikes
iron_condor,A,2025-11-17,2025-12-31,144.52,135.0,130.0,160.0,165.0,1.5351765966663713,346.48234033336286,0.5852074378048271,0.31262171419187096,0.35501749,136.07,153.51765966663714,True,Expired between short strikes
