entry_date,exit_date,expiration,strike,quantity,entry_price,exit_price,pnl_pct,pnl_dollar,days_held,exit_reason,contract_cost,entry_delta,entry_spot,entry_sma200,entry_pct_above_sma,entry_std_above_sma,entry_trailing_12m_return
2018-02-06,2018-05-03,2018-06-15,138.0,1,27.67,24.6,-0.11095048789302497,-307.0,60,MH,2767.0,0.8053916676134827,154.036865234375,139.92899745941162,0.10082161689935332,7.390488401916008,0.3016726269411456
2018-02-07,2018-05-04,2018-06-15,138.0,1,24.76,27.27,0.10137318255250394,251.0,60,MH,2476.0,0.7969524355306383,152.04391479492188,140.05704650878906,0.08558561375475386,6.136902141580359,0.280151773080898
2018-02-12,2018-05-09,2018-06-15,137.0,1,25.26,31.08,0.23040380047505926,582.0,60,MH,2526.0,0.7959150315784198,150.7721405029297,140.3675173187256,0.07412415196158834,4.192117254435576,0.2585811587489928
2018-02-14,2018-05-11,2018-06-15,142.0,1,23.54,27.63,0.17374681393372993,409.0,60,MH,2354.0,0.8068937903501004,154.3879852294922,140.6099210357666,0.09798785243767323,5.4110085489922755,0.2772338907498615
2018-02-15,2018-05-14,2018-06-15,145.0,1,23.59,24.97,0.058499364137346355,138.0,60,MH,2359.0,0.8018914205059677,157.25408935546875,140.7486127471924,0.11726919566818678,6.297978646394007,0.29329757057851435
2018-02-16,2018-05-15,2018-06-15,144.0,1,23.8,24.04,0.010084033613445342,24.0,60,MH,2380.0,0.8120353027938716,156.55178833007812,140.88586616516113,0.11119583952127435,5.967639890200527,0.2879199097331884
2018-02-20,2018-05-16,2018-06-15,145.0,1,23.24,24.21,0.04173838209982805,97.0,60,MH,2324.0,0.7913296907195505,156.86495971679688,141.02445007324218,0.11232456240976513,6.083168077901292,0.28492925378613343
2018-02-21,2018-05-17,2018-06-15,144.0,1,23.34,24.37,0.04413024850042846,103.0,60,MH,2334.0,0.7940093131921828,156.4188995361328,141.15844764709473,0.10810866897027799,5.892104090560062,0.2749891559488056
2018-02-22,2018-05-18,2018-06-15,144.0,1,23.86,23.64,-0.009220452640402277,-22.0,60,MH,2386.0,0.809103012291901,156.39991760253906,141.29093658447266,0.10693524569449858,5.8410972681588165,0.27434570244750667
2018-02-27,2018-05-23,2018-06-15,148.0,1,23.01,21.65,-0.05910473707083885,-136.0,60,MH,2301.0,0.8010097330734972,159.71205139160156,141.74050727844238,0.12679187099179032,6.667330569611016,0.3021316458231542
2018-02-28,2018-05-24,2018-06-15,146.0,1,24.41,23.59,-0.0335927898402294,-82.0,60,MH,2441.0,0.8043376501715589,158.68707275390625,141.8808507537842,0.11845306756221162,6.240385847556203,0.2977551529617797
2018-03-01,2018-05-25,2018-06-15,143.0,1,24.74,26.62,0.07599029911075195,188.0,60,MH,2474.0,0.7913321416059412,156.09625244140625,142.00616683959962,0.09922164590022224,5.146194750628234,0.2627758562375171
2018-04-05,2018-06-05,2018-07-20,140.0,1,23.24,35.04,0.5077452667814115,1180.0,42,PT,2324.0,0.7874893557027538,152.7088165283203,144.9875269317627,0.053254854124048845,2.8897704106462814,0.2228538284054895
2018-03-19,2018-06-13,2018-07-20,145.0,1,25.96,30.64,0.18027734976887522,468.0,60,MH,2596.0,0.8108878726012521,158.8399658203125,143.79988441467285,0.10459035809979425,9.361834262406882,0.2798701261576986
2018-03-27,2018-06-14,2018-07-20,135.0,1,27.53,42.57,0.5463131129676715,1504.0,55,PT,2753.0,0.8038482214141056,151.2163848876953,144.4177098083496,0.047076463740963186,2.831848221456948,0.22635840018671116
2018-03-22,2018-06-18,2018-07-20,140.0,1,25.78,36.66,0.4220325833979828,1087.9999999999995,60,MH,2578.0,0.7934912056812577,154.7524871826172,144.1387968444824,0.07363520835813792,5.853621941447553,0.25647607700464436
2018-03-26,2018-06-20,2018-07-20,142.0,1,25.46,35.46,0.39277297721916726,1000.0,60,MH,2546.0,0.7984510765912576,156.27349853515625,144.3212225341797,0.08281717540291683,5.417148410054721,0.26940839961710283
2018-05-07,2018-07-13,2018-09-21,147.0,1,22.12,33.33,0.5067811934900541,1121.0,47,PT,2212.0,0.7936275124338248,158.0224609375,147.37687644958496,0.07223375026242133,5.795653485404937,0.21912676273871257
2018-05-08,2018-07-13,2018-09-21,147.0,1,22.12,33.33,0.5067811934900541,1121.0,46,PT,2212.0,0.794015470883622,157.8609161376953,147.48527603149415,0.0703503453726834,6.056097622751894,0.2152296192788996
2018-05-15,2018-07-17,2018-09-21,150.0,1,20.68,31.1,0.5038684719535784,1042.0,43,PT,2068.0,0.7829243797828168,159.57191467285156,148.08880950927735,0.07754201820938282,7.155498876207649,0.21779911709984678
2018-05-18,2018-07-17,2018-09-21,149.0,1,21.12,32.06,0.5179924242424243,1094.0,40,PT,2112.0,0.8039406695040825,159.1822052001953,148.4526983642578,0.0722755931967674,7.167392142795475,0.23057890673428139
2018-05-09,2018-08-03,2018-09-21,148.0,1,22.7,32.44,0.42907488986784137,974.0,60,MH,2270.0,0.8145347950140528,159.58143615722656,147.5991594696045,0.08118119866454662,6.961448418199093,0.22421110925512178
2018-05-10,2018-08-06,2018-09-21,151.0,1,21.39,30.42,0.4221598877980366,903.0,60,MH,2139.0,0.8046676088976867,161.23536682128906,147.723060836792,0.09147052537332531,7.8892921899621085,0.23618465462075267
2018-05-22,2018-08-06,2018-09-21,150.0,1,20.83,31.4,0.5074411905904945,1057.0,52,PT,2083.0,0.7986527011737902,159.86659240722656,148.69617462158203,0.07512242876504528,8.813893991181205,0.22039902335621187
2018-05-11,2018-08-07,2018-09-21,151.0,1,21.19,31.21,0.47286455875412936,1002.0,60,MH,2119.0,0.8049508179434997,161.0832977294922,147.84398124694823,0.08954924218680184,7.794557113876476,0.23600085610002886
2018-05-16,2018-08-07,2018-09-21,151.0,1,20.71,31.21,0.5070014485755674,1050.0,57,PT,2071.0,0.7926983524159927,160.6270751953125,148.21519729614258,0.08374227559384663,7.670892737598942,0.22075966917621437
2018-05-17,2018-08-07,2018-09-21,150.0,1,20.95,32.21,0.5374701670644393,1126.0,56,PT,2095.0,0.79531628963048,160.00917053222656,148.33693664550782,0.07868730574241788,7.33838739915453,0.24778984829511086
2018-05-21,2018-08-07,2018-09-21,150.0,1,20.99,32.21,0.5345402572653646,1122.0,54,PT,2099.0,0.8018456364471671,160.07568359375,148.57557334899903,0.07740242884836526,7.684696075799288,0.2322791276579399
2018-05-24,2018-08-07,2018-09-21,152.0,1,20.04,30.26,0.5099800399201597,1022.0,51,PT,2004.0,0.7984351194709046,161.16885375976562,148.94321975708007,0.08208251454900083,10.876733173873886,0.22347452307616034
2018-05-25,2018-08-07,2018-09-21,152.0,1,20.12,30.26,0.5039761431411531,1014.0,50,PT,2012.0,0.7989077887337942,161.3304901123047,149.06891975402831,0.08225437186040269,10.90537875616177,0.21436373409536236
2018-05-14,2018-08-08,2018-09-21,151.0,1,21.47,31.11,0.44899860270144387,964.0,60,MH,2147.0,0.8126906886162518,161.35894775390625,147.97057945251464,0.09047993426077026,7.918670503323583,0.23534643909270403
2018-05-23,2018-08-17,2018-09-21,151.0,1,20.98,29.08,0.38608198284080064,810.0,60,MH,2098.0,0.8125312747488562,161.21649169921875,148.81922561645507,0.08330419696386931,9.691527572262085,0.22946589281550045
2018-05-29,2018-08-22,2018-09-21,150.0,1,21.71,31.15,0.4348226623675724,944.0,60,MH,2171.0,0.7981560194449772,160.61758422851562,149.2056549835205,0.07648456250706817,10.351472729333166,0.2068572180690691
2018-05-30,2018-08-23,2018-09-21,152.0,1,20.74,28.99,0.39778206364513014,825.0,60,MH,2074.0,0.797156771753317,161.76768493652344,149.34308517456054,0.08319501199161869,11.595984002437689,0.21446685025247336
2018-05-31,2018-08-24,2018-09-21,152.0,1,20.55,30.69,0.49343065693430654,1014.0,60,MH,2055.0,0.7993955198003494,161.66319274902344,149.47134643554688,0.08156644470138477,11.730627323958712,0.21411242123130414
2018-06-27,2018-08-29,2018-10-19,148.0,1,24.78,38.91,0.5702179176755446,1412.9999999999995,44,PT,2478.0,0.8043971657893345,161.68531799316406,152.3757194519043,0.06109633854229795,7.027119639212386,0.2395801747825046
2018-06-19,2018-09-13,2018-10-19,157.0,1,21.94,27.47,0.25205104831358227,553.0,60,MH,2194.0,0.7997707160449694,167.6581268310547,151.5324137878418,0.10641758182371636,18.447713823119496,0.26313389240435026
2018-06-21,2018-09-17,2018-10-19,156.0,1,22.66,25.38,0.12003530450132383,272.0,60,MH,2266.0,0.7955255228068665,167.38182067871094,151.84008628845214,0.10235593755349959,16.603462629711323,0.25854328396429715
2018-06-22,2018-09-18,2018-10-19,155.0,1,23.15,27.76,0.19913606911447101,461.0,60,MH,2315.0,0.8126918579552265,167.01034545898438,151.98941345214843,0.09882880435988434,15.90029403477745,0.25610713392199314
2018-06-25,2018-09-19,2018-10-19,150.0,1,25.86,32.78,0.2675947409126065,692.0,60,MH,2586.0,0.8020254286224036,163.24757385253906,152.11832000732423,0.07316182458943131,8.852812470662538,0.22311248066913736
2018-06-26,2018-09-20,2018-10-19,151.0,1,24.18,33.64,0.39123242349048803,946.0,60,MH,2418.0,0.8105336798921757,163.91439819335938,152.2565139770508,0.07656739217125219,9.326403737958511,0.2338746405269747
2018-08-08,2018-10-24,2018-12-21,164.0,1,20.92,8.53,-0.5922562141491396,-1239.0,54,SMA,2092.0,0.7957780196660027,173.39279174804688,156.83549949645996,0.10557107481881448,12.008161640492185,0.27148756437457777
2018-08-09,2018-10-24,2018-12-21,164.0,1,21.01,8.53,-0.5940028557829606,-1248.0,53,SMA,2101.0,0.7931807909517716,173.2880096435547,157.00235473632813,0.10372873027654207,12.981179771712245,0.27239434063311596
2018-08-10,2018-10-24,2018-12-21,161.0,1,22.7,10.35,-0.5440528634361234,-1235.0,52,SMA,2270.0,0.8080349901739328,171.96388244628906,157.16140579223634,0.09418646123349933,11.478407028803126,0.2903368186326156
2018-08-13,2018-10-24,2018-12-21,161.0,1,22.55,10.35,-0.541019955654102,-1220.0,51,SMA,2255.0,0.8025525739141173,171.77337646484375,157.32215606689454,0.09185750284152253,11.217931847551665,0.27920218920257334
2018-08-15,2018-10-24,2018-12-21,160.0,1,22.66,11.09,-0.5105913503971756,-1157.0,49,SMA,2266.0,0.7957745727675869,170.73501586914062,157.62803092956543,0.0831513586909674,9.603920200631883,0.25443199100966996
2018-08-21,2018-10-24,2018-12-21,161.0,1,22.12,10.35,-0.5320976491862568,-1177.0,45,SMA,2212.0,0.8112584138379305,171.8114471435547,158.17884147644043,0.08618476112144707,10.048456567913098,0.2890106000352137
2018-08-22,2018-10-24,2018-12-21,163.0,1,21.02,9.17,-0.5637488106565176,-1185.0,44,SMA,2102.0,0.7938767930714505,172.4783172607422,158.31546264648438,0.08945970518295622,11.194561987494778,0.2745853397538791
2018-08-23,2018-10-24,2018-12-21,163.0,1,20.81,9.17,-0.5593464680442095,-1164.0,43,SMA,2081.0,0.7878364230232549,172.23062133789062,158.44838287353517,0.08698251262908557,12.056847790357354,0.2773044864457417
2018-08-27,2018-10-24,2018-12-21,166.0,1,21.09,7.27,-0.6552868658131816,-1382.0,41,SMA,2109.0,0.7961597795885349,175.60279846191406,158.73529823303224,0.10626181080479905,17.96994572695882,0.3089177954759823
2018-08-28,2018-10-24,2018-12-21,166.0,1,21.34,7.27,-0.6593252108716026,-1407.0,40,SMA,2134.0,0.8038702534625365,175.86004638671875,158.88683952331542,0.10682575671040802,18.43387331812115,0.3067849805203935
2018-08-29,2018-10-24,2018-12-21,168.0,1,21.51,6.09,-0.7168758716875872,-1542.0,39,SMA,2151.0,0.8049101226017479,177.88906860351562,159.0485732269287,0.11845749379785701,19.263074314657427,0.3166845151466622
2018-08-30,2018-10-24,2018-12-21,168.0,1,21.27,6.09,-0.7136812411847673,-1518.0,38,SMA,2127.0,0.7896839330229106,177.57473754882812,159.20783538818358,0.11536431053070982,20.416667671319036,0.29909290959358703
2018-08-31,2018-10-24,2018-12-21,168.0,1,21.72,6.09,-0.7196132596685083,-1563.0,37,SMA,2172.0,0.7941389841159019,177.80337524414062,159.3708925628662,0.1156577740443002,20.487956260515038,0.286974790472837
2018-09-04,2018-10-24,2018-12-21,166.0,1,22.84,7.27,-0.6816987740805605,-1557.0,36,SMA,2284.0,0.8067670783995262,177.041259765625,159.53354827880858,0.10974313350204618,19.198522945552654,0.283214153629451
2018-09-05,2018-10-24,2018-12-21,163.0,1,23.31,9.17,-0.6066066066066066,-1414.0,35,SMA,2331.0,0.804062437146803,174.7550048828125,159.67553916931152,0.09443817000368171,14.52078255038897,0.27811089358052143
2018-09-06,2018-10-24,2018-12-21,161.0,1,23.48,10.35,-0.559199318568995,-1313.0,34,SMA,2348.0,0.8080520446866768,173.1927490234375,159.81251289367677,0.08372458381067195,12.256922538029169,0.2628448667095613
2018-09-07,2018-10-24,2019-01-18,159.0,1,25.43,12.66,-0.5021627998427054,-1277.0,33,SMA,2543.0,0.8068377400083788,172.52587890625,159.94672019958497,0.07864593091354721,11.425465948760337,0.25504160344740123
2018-09-10,2018-10-24,2019-01-18,161.0,1,23.95,11.28,-0.5290187891440501,-1267.0,32,SMA,2395.0,0.7939712143874159,173.1070098876953,160.0759250640869,0.08140565058981464,12.160197825294041,0.27027145352155957
2018-09-13,2018-10-24,2019-01-18,165.0,1,22.45,8.72,-0.6115812917594654,-1373.0,29,SMA,2245.0,0.800776930163808,175.7838134765625,160.4799227142334,0.09536327350793122,14.676161987969932,0.2704451566087549
2018-09-19,2018-10-24,2019-01-18,163.0,1,22.65,9.97,-0.5598233995584989,-1268.0,25,SMA,2265.0,0.8046816504001848,174.04052734375,161.02479164123534,0.08083063216447958,10.639027848706593,0.2604353251025424
2018-09-21,2018-10-24,2019-01-18,164.0,1,22.32,9.34,-0.5815412186379929,-1298.0,23,SMA,2232.0,0.8048360431438579,175.002685546875,161.33291786193848,0.08473018318948707,10.543573394434448,0.2791604924281883
